stop_id,name,mode,lat,lon,betweenness
metro_STG_G_3,E3-Near N4 BeachKasimedu Fishmarket,metro,13.1437293,80.296612,1.1351017890191241e-05
bus_SVKOBqwN,MARAIMALLAI NAGAR STANGE,bus,12.79052,80.01702,1.1351017890191241e-05
bus_ZgqhsueA,MARAIMALAI NAGAR,bus,12.79947,80.02331,1.0980876002467613e-05
bus_992,CHRIST KING CONVENT,bus,12.549663,80.143925,1.0864988409222795e-05
bus_8eef10b0,PANCHETTI,bus,13.28647,80.14879,1.0857495373226405e-05
bus_1acb866df9345abd5a7ba5be221b1225,THIRUSOOLAM NATIONAL AIRPORT,bus,12.97825,80.16014,1.0857495373226405e-05
bus_FTwVCxQy,EZHILAGAM,bus,13.06139,80.28286,1.0807292529896123e-05
bus_1051,BUILDERS INDUSTRY,bus,12.549663,80.143925,1.0765095484404562e-05
suburban_INDR_P_4,INDRA NAGAR,suburban,12.997514,80.249234,1.0709438618136952e-05
suburban_INDR,INDRA NAGAR,suburban,12.997514,80.249234,1.0709438618136952e-05
suburban_INDR_P_1,INDRA NAGAR,suburban,12.997514,80.249234,1.0709438618136952e-05
suburban_INDR_P_3,INDRA NAGAR,suburban,12.997514,80.249234,1.0709438618136952e-05
bus_1149,KANNAPALAYAM,bus,12.549663,80.143925,1.0671930473432819e-05
bus_2bdebd1928b5ed1a3c22a5a4c535f38b,WAR MEMORIAL,bus,13.07308,80.28532,1.0396515912139409e-05
metro_SHC_G_2,A3-Near Sowcarpet,metro,13.0883549,80.2848219,1.0363972856261567e-05
bus_53b1151d,THACHUR KOOT ROAD JUNCTION,bus,13.29662,80.14766,1.0363972856261567e-05
bus_MvGjEBBL,WALAJABAD B.T,bus,12.79255,79.81755,1.0363972856261567e-05
bus_1914,BRITANIA NAGAR,bus,12.549663,80.143925,1.0306176670739608e-05
bus_978,MAHARANI,bus,12.549663,80.143925,1.0235800174715639e-05
suburban_MLHS_1,A1,suburban,13.04515368,80.27699222,1.0117211597779149e-05
suburban_VEU_1,B1,suburban,13.12360186,79.99721136,9.870450339296731e-06
bus_qkyIMrkK,HASTHINAPURAM,bus,12.94033,80.15045,9.870450339296731e-06
bus_260d151a,PERAVALLUR,bus,13.31463,80.14566,9.870450339296731e-06
bus_127,NATURE CARE HOSPITAL,bus,12.549663,80.143925,9.766849779187843e-06
bus_vkAUVqtk,CHINTHATHRIPET RAILWAY STATION,bus,13.07459,80.27342,9.713566352196526e-06
metro_SPC_G_3,B3-Near St.George School,metro,13.0753636,80.2318887,9.623689080814313e-06
bus_New304,NANGANALLUR SBI COLONY,bus,12.97988,80.18289,9.53797693156114e-06
bus_WtcWhSlk,RAINY HOSPITAL,bus,13.11877,80.29007,9.42628007402838e-06
bus_f769dfeb,PUDUVOYAL ROAD OR NEW ROAD,bus,13.31959,80.14512,9.376927822331895e-06
suburban_MKAK_1,A1,suburban,13.04096078,80.27010817,9.376927822331895e-06
bus_tkhDcqas,ERANAVOOR GANDHI NAGAR,bus,13.18834,80.30855,8.945095619987663e-06
bus_ff02984b2bf02c6758ff31fcc0c5551e,ERNAVUR MULLAI NAGAR,bus,13.18549,80.30303,8.883405305367057e-06
bus_d1dc294b,PUDUVAYAL,bus,13.33479,80.14316,8.883405305367057e-06
bus_XGxJlapP,CO-OPTEX,bus,13.06776,80.25525,8.760024676125849e-06
bus_vjmwMJTT,V O C NAGAR,bus,13.22574,80.32105,8.636644046884639e-06
bus_575,VIRUGAMBAKKAM MARKET,bus,12.549663,80.143925,8.601605472181423e-06
bus_7218cb72,MARAIMALAI NAGAR,bus,12.79947,80.02331,8.51326341764343e-06
bus_QdnKSSsO,KK NAGAR TELEPHONE EXCHANGE JAFFARKHANPET,bus,13.03161,80.20956,8.428072030786405e-06
bus_0941b192,PERUVAYAL,bus,13.34375,80.14401,8.389882788402221e-06
bus_c4161645767a4f6462762bc8f6c80b0c,AMARAMBEDU CHATRAM,bus,12.96537,80.01312,8.270240966107716e-06
bus_658,SAIDAPET WEST,bus,12.549663,80.143925,8.164039228313747e-06
bus_QkhvVJfO,SYNDICATE BANK VAITHIYALINGAM,bus,12.96162,80.15961,8.143121529919803e-06
bus_536,CONCORD,bus,12.549663,80.143925,7.979570843270453e-06
metro_SSA_G_1,A3-Near Saidapet Bus Stand,metro,13.0239805,80.2285092,7.912184640718821e-06
suburban_PER_P_4,PERAMBUR,suburban,13.107617,80.246783,7.896360271437388e-06
suburban_PER_2,B1,suburban,13.10734952,80.2448514,7.896360271437388e-06
suburban_PER_P_3,PERAMBUR,suburban,13.107617,80.246783,7.896360271437388e-06
suburban_PER,PERAMBUR,suburban,13.107617,80.246783,7.896360271437388e-06
metro_SSA|0121,Saidapet,metro,13.02402718,80.2286365,7.896360271437385e-06
bus_16eb9ec0,KAVARAIPETTAI R.M.K COLLEGE,bus,13.35566,80.14099,7.896360271437385e-06
bus_1086,KANIGAPURAM,bus,12.549663,80.143925,7.755779585107506e-06
bus_1508,ST.THOMAS MOUNT P.O,bus,12.549663,80.143925,7.662515177987698e-06
bus_1bf476a1,VIJAYA NALLUR,bus,13.22135,80.16757,7.649599012954967e-06
bus_aeqQVhRD,THARAMANI WATER TANK,bus,13.00286,80.24367,7.649599012954967e-06
bus_1644,AMBATTUR R.S,bus,12.549663,80.143925,7.523040631630631e-06
bus_6a383b7a,SEMILIVARAM CHENGALIAMMAN TEMPLE,bus,13.23531,80.16246,7.402837754472549e-06
bus_2e6ebcbe,KAVARAPETTAI,bus,13.3637,80.1395,7.402837754472549e-06
bus_6b5d4ab7,KEELKARANAI,bus,12.77694,80.01048,7.402837754472549e-06
bus_196449d2,SHOLAVARAM,bus,13.23954,80.16093,7.15607649599013e-06
suburban_PRGL_1,A1,suburban,12.90441287,80.09441809,6.923161560628969e-06
bus_4e47606f,MAMBAKKAM ROAD AND ATANOOR ROAD JUNCTION,bus,13.36621,80.13907,6.909315237507712e-06
bus_e8da0245,SHOLAVARAM BDO OFFICE,bus,13.24286,80.15972,6.909315237507712e-06
bus_WUqcbmEF,CHROMEPET I.O.B BANK,bus,12.95443,80.13545,6.909315237507712e-06
bus_vISVJoyz,PATTALAM,bus,13.09745,80.25797,6.84074297062148e-06
bus_329,THORAIPAKKAM CHECKPOST,bus,12.549663,80.143925,6.828819614137319e-06
bus_GWqnIxTG,PULIYANTHOPU KESAVAN PARK,bus,13.0951,80.26632,6.744807731852766e-06
bus_265,KALIYAPPA HOSPITAL,bus,12.549663,80.143925,6.694519252595202e-06
bus_New227,MORAI,bus,13.17703,80.0748,6.662553979025294e-06
bus_35020585,KARANODAI,bus,13.24703,80.15762,6.662553979025294e-06
suburban_MN_1,S1,suburban,12.98536036,80.17659656,6.662553979025294e-06
bus_983,ALWAR THIRUNAGAR,bus,12.549663,80.143925,6.647791626200017e-06
bus_1642,CHEMBARAMBAKKAM RD.JN.,bus,12.549663,80.143925,6.445193512663153e-06
suburban_MSF_1,A1,suburban,13.08221861,80.28243985,6.415792720542875e-06
bus_64df3600,DON BOSCO MATRICULATION SCHOOL KARANODAI,bus,13.25289,80.15541,6.415792720542875e-06
suburban_SVR_P_1,SEVVAPET ROAD,suburban,13.125012,79.966714,6.415792720542875e-06
bus_01a101c7,GETNAMALLI,bus,13.37657,80.09438,6.415792720542875e-06
bus_4e91b9aa6fa3aa0115f6e06515333b9d,NARADA GANA SABHA,bus,13.04157,80.25892,6.415792720542873e-06
bus_1648,GANAMOORTHY NAGAR,bus,12.549663,80.143925,6.38542210411427e-06
bus_JcIXcAoG,CHENDURPURAM MAIN ROAD,bus,13.03927,80.12673,6.30502213557281e-06
bus_308,I.C.F,bus,12.549663,80.143925,6.261066977660486e-06
bus_1859,THOZHUDUR,bus,12.549663,80.143925,6.239534678769719e-06
metro_STL|0113,Thousand Lights,metro,13.05936791,80.25947454,6.230721776681062e-06
metro_STL_G_1,A4-Near Spencer Plaza,metro,13.059354,80.2595049,6.230721776681062e-06
bus_f8d2339d,JANAPANCHATRAM KOOT ROAD JUNCTION,bus,13.26204,80.15492,6.169031462060457e-06
bus_UWOHRooW,JOSIYAR STREET,bus,13.05278,80.24516,6.103330811753354e-06
bus_40,D.P.I,bus,12.549663,80.143925,6.039499376945392e-06
bus_1735,KAVALCHERY,bus,12.549663,80.143925,6.038868697217435e-06
bus_1572,JAIGOPAL GARODIA HR.SEC.SCH,bus,12.549663,80.143925,5.984242528778793e-06
bus_9073ba58,ALINJIVAKKAM,bus,13.26835,80.1532,5.9341384805391165e-06
metro_STR_G_2,E4-Near H3 Police Stationparking,metro,13.1234554,80.288004,5.922270203578039e-06
bus_b222449d,LAKSHMIPURAM,bus,13.37778,80.08731,5.922270203578039e-06
bus_8b70598c1f3da4fea12581b1ed08c0b2,SEMILIVARAM CHENGALIAMMAN TEMPLE,bus,13.23542,80.16241,5.922270203578039e-06
bus_73fda2e10d546d01a9eb619f624126ab,MANALI M.F.L,bus,13.1779,80.27028,5.922270203578039e-06
bus_1049,MADANAKUPPAM,bus,12.549663,80.143925,5.908042901960764e-06
bus_MnOJOxue,V.R.P.CHATRAM NOKIA,bus,12.95452,79.93401,5.6755089450956206e-06
bus_DacXSoOC,ENNORE E.T.P.S,bus,13.20004,80.31312,5.6755089450956206e-06
bus_1643,GNAMURTHI NAGAR,bus,12.549663,80.143925,5.634950422118837e-06
bus_442,NORTH USHMAN RD BHARATHI NAGAR,bus,12.549663,80.143925,5.614787023304432e-06
bus_jdqvZckQ,CANCER HOSPITAL,bus,13.01086,80.24895,5.4287476866132025e-06
bus_35d07893,IYERKANDIGAI,bus,13.38113,80.07817,5.4287476866132025e-06
bus_VQfPRvUw,THIRUVOTTIYUR BUS STAND,bus,13.17508,80.30627,5.4287476866132025e-06
bus_1a7ee56a,VIVEKANANDA HOUSE BUS TERMINUS,bus,13.05046,80.27976,5.4287476866132025e-06
bus_XKPsPfQv,METTUKUPPAM SEMATHAMAN TEMPLE STREET,bus,13.05734,80.1734,5.4287476866132025e-06
metro_SCC_G_1,B2-Near Central Railway Station,metro,13.0816968,80.273681,5.404304687633834e-06
metro_104_2,Chennai Central Metro,metro,13.0817804,80.27354903,5.393496078258567e-06
metro_SCC|0201,Chennai Central Metro,metro,13.0817804,80.27354903,5.393496078258567e-06
bus_tjYcJLRB,PARRYS CORNER,bus,13.08873,80.29001,5.2665479014784655e-06
bus_378,ANNA NAGAR WEST,bus,12.549663,80.143925,5.242731203893127e-06
bus_1467,KONIMEDU RD.JN,bus,12.549663,80.143925,5.229606871186144e-06
bus_1469,KONIMEDU RD.JN,bus,12.549663,80.143925,5.229606871186144e-06
bus_f610ecbe,AMIRTHAMANGALAM THIDEER NAGAR,bus,13.39691,80.05222,5.181986428130784e-06
bus_bzkCWXwV,CHETTINAD HOSPITAL,bus,12.79598,80.22282,5.181986428130784e-06
bus_TabXWeiJ,KEELKARANAI,bus,12.77694,80.01048,5.181986428130784e-06
bus_226,SANTHOME P.O,bus,12.549663,80.143925,5.039037732436869e-06
bus_75e7377808280f4f65739a465fc4ddc5,ADYAR SHASTRI NAGAR,bus,12.99686,80.25934,4.984577421344849e-06
bus_CorDNIJt,MUTHAMIZH NAGAR OR AMBEDKAR STATUE,bus,13.13405,80.25367,4.976352046062101e-06
metro_SAN_G_2,D-Near BHEL Staff Quarters,metro,13.0351167,80.2108348,4.9352251696483655e-06
bus_45530f5f,NARAYANASAMY KANDIGAI,bus,13.38306,80.07088,4.9352251696483655e-06
suburban_TI_2,BL1,suburban,13.12341832,80.0297205,4.9352251696483655e-06
bus_241,PATTARAVAKKAM VINAYAGAR TEMPLE,bus,12.549663,80.143925,4.901148614905555e-06
bus_26a95ec098d82afad257b2a9cc552927,Anna Centenary Library,bus,13.01705,80.24084,4.879292617725684e-06
bus_dkEskUud,M.G.R.CENTRAL OR RAJIV GANDHI GOVERNMENT GENERAL HOSPITAL,bus,13.08192,80.27761,4.858953507935618e-06
bus_baf0a39b26b42fe3b3a70325e0a2a2b5,TIRUCHANANKUPPAM,bus,13.14925,80.30275,4.6884639111659475e-06
suburban_MSF_P_1,CHENNAI FORT,suburban,13.082692231983,80.282178372145,4.656650335423057e-06
suburban_MSF_2,B1,suburban,13.08271462,80.28185831,4.647337034752212e-06
suburban_MSF,CHENNAI FORT,suburban,13.082692231983,80.282178372145,4.647337034752212e-06
suburban_MSF_P_3,CHENNAI FORT,suburban,13.082692231983,80.282178372145,4.647337034752212e-06
suburban_MSF_P_4,CHENNAI FORT,suburban,13.082692231983,80.282178372145,4.647337034752212e-06
bus_894,SLUM CLEARANCE BOARD,bus,12.549663,80.143925,4.627146827541907e-06
bus_5c36e32e799ffc73a82cbebfbd59119d,MAHALINGAPURAM,bus,13.05791,80.23495,4.625371543940329e-06
