route_id,original_route_id,mode,route_short_name,route_long_name,route_type
bus_1024,1024,bus,G18CT,KCBT - KILAMBAKKAM To THYAGARAYA NAGAR,3
bus_1027,1027,bus,113,GUINDY B.T To REDHILLS BUS TERMINUS,3
bus_1028,1028,bus,113,M.G.R.KOYAMBEDU B.T To REDHILLS BUS TERMINUS,3
bus_1029,1029,bus,113,REDHILLS BUS TERMINUS To GUINDY B.T,3
bus_1030,1030,bus,113,REDHILLS BUS TERMINUS To M.G.R.KOYAMBEDU B.T,3
bus_1033,1033,bus,119,CEMENT ROAD To SEMMANCHERI TNUHDB,3
bus_1034,1034,bus,119,SEMMANCHERI TNUHDB To CEMENT ROAD,3
bus_1035,1035,bus,119,SEMMANCHERI BUS STAND To VELACHERY,3
bus_1040,1040,bus,14M,CEMENT ROAD To MEDAVAKKAM RD.JN,3
bus_1041,1041,bus,170C,THIRU.VI.KA.NAGAR B.T To GUINDY B.T,3
bus_1044,1044,bus,170C,GUINDY B.T To PERAMBUR T.V.K.NAGAR,3
bus_1047,1047,bus,18A,BROADWAY To CEMENT ROAD,3
bus_1048,1048,bus,18A,BROADWAY To KEELKATTALAI,3
bus_1049,1049,bus,18A,BROADWAY To SAIDAPET METRO,3
bus_1050,1050,bus,18A,TAMBARAM WEST BUS STAND To BROADWAY,3
bus_1055,1055,bus,18A,CEMENT ROAD To BROADWAY,3
bus_1059,1059,bus,18ACT,TIRUSULAM AIRPORT To SAIDAPET,3
bus_1066,1066,bus,18E,BROADWAY To CEMENT ROAD,3
bus_1068,1068,bus,18E,RAMAPURAM To BROADWAY,3
bus_1078,1078,bus,18N,CEMENT ROAD To BROADWAY,3
bus_1079,1079,bus,18N,BROADWAY To KEELKATTALAI,3
bus_1083,1083,bus,18P,MADIPAKKAM B.T To BROADWAY,3
bus_1088,1088,bus,18P,CEMENT ROAD To BROADWAY,3
bus_1089,1089,bus,18P,BROADWAY To MADIPAKKAM B.T,3
bus_1090,1090,bus,18P,MADIPAKKAM B.T To CEMENT ROAD,3
bus_1093,1093,bus,18RCT,CEMENT ROAD To NANGANALLUR,3
